epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,586.13,0.8122,2.03862,1.27348,1.18107,0,0.76112,0.31978,0.51503,0.34547,0.75093,0.31085,0.49981,0.35557,1.34364,3.06615,1.75382,1.87616,0,0.000788468,0.000788468,0.000788468
29,606.996,0.8041,1.9784,1.31691,1.17286,0,0.57753,0.36071,0.45355,0.35099,0.56648,0.35179,0.43485,0.31008,1.49754,3.04641,2.08851,2.04213,0,0.000786818,0.000786818,0.000786818
30,627.657,0.79354,1.98109,1.33758,1.1816,0,0.47596,0.59791,0.57993,0.43281,0.46031,0.58005,0.55749,0.41077,1.43769,3.00745,1.93164,1.93639,0,0.000785169,0.000785169,0.000785169
31,648.352,0.77027,1.91625,1.286,1.15895,0,0.47935,0.48839,0.51496,0.3626,0.44284,0.43929,0.47602,0.35908,1.39679,2.85488,1.97222,1.84865,0,0.00078352,0.00078352,0.00078352
32,669.049,0.76522,1.85305,1.23735,1.14049,0,0.48763,0.58662,0.49473,0.36222,0.4632,0.56786,0.46617,0.3469,1.47666,2.78062,1.9204,1.95105,0,0.00078187,0.00078187,0.00078187
33,689.66,0.75537,1.9451,1.25448,1.15246,0,0.52995,0.47091,0.51632,0.36351,0.49439,0.41875,0.47371,0.36581,1.34014,2.9971,2.02785,1.90182,0,0.000780221,0.000780221,0.000780221
34,710.284,0.76736,1.90117,1.23727,1.16287,0,0.54542,0.52811,0.63371,0.46381,0.51518,0.50132,0.60344,0.45664,1.34005,2.77867,1.91222,1.90134,0,0.000778572,0.000778572,0.000778572
35,731.019,0.70088,1.80389,1.21719,1.1254,0,0.635,0.39286,0.59242,0.46492,0.60913,0.36045,0.54744,0.40079,1.38173,3.19727,1.95746,1.92134,0,0.000776922,0.000776922,0.000776922
36,751.754,0.73643,1.79622,1.17885,1.13006,0,0.48931,0.66026,0.66025,0.51629,0.46184,0.62008,0.61588,0.46838,1.36189,2.70458,1.65158,1.91169,0,0.000775273,0.000775273,0.000775273
37,772.627,0.71097,1.76295,1.12937,1.12808,0,0.76657,0.44724,0.57813,0.38013,0.70889,0.40804,0.53185,0.40798,1.38163,2.879,1.87082,1.91545,0,0.000773624,0.000773624,0.000773624
38,793.283,0.73092,1.82262,1.13352,1.12367,0,0.67797,0.40893,0.53031,0.36985,0.63604,0.39554,0.48884,0.3291,1.24538,2.78,1.66311,1.78354,0,0.000771974,0.000771974,0.000771974
39,813.804,0.70839,1.78679,1.1316,1.11977,0,0.50115,0.73393,0.65302,0.47887,0.47327,0.68482,0.61829,0.4546,1.26627,2.74563,1.70741,1.76781,0,0.000770325,0.000770325,0.000770325
40,834.421,0.72185,1.8078,1.14363,1.13005,0,0.40399,0.70625,0.66256,0.47924,0.38787,0.66161,0.62192,0.37936,1.3256,3.19494,1.71501,1.87049,0,0.000768676,0.000768676,0.000768676
41,855.083,0.70868,1.85696,1.1065,1.11819,0,0.70433,0.50536,0.58728,0.43761,0.68357,0.50536,0.55742,0.40461,1.23937,2.75374,1.4545,1.75717,0,0.000767026,0.000767026,0.000767026
42,876.123,0.70391,1.73055,1.06656,1.11364,0,0.60281,0.50435,0.66095,0.47344,0.61082,0.42732,0.62568,0.45404,1.33921,2.84403,1.74294,1.90312,0,0.000765377,0.000765377,0.000765377
43,896.688,0.70037,1.73713,1.08173,1.10767,0,0.49214,0.78791,0.69053,0.51086,0.46682,0.73036,0.6459,0.46389,1.30778,2.91411,1.57721,1.81346,0,0.000763728,0.000763728,0.000763728
44,917.337,0.68974,1.71194,1.0785,1.10017,0,0.54459,0.65625,0.67618,0.5236,0.50644,0.61607,0.63879,0.4778,1.31099,3.06501,1.92271,1.90828,0,0.000762078,0.000762078,0.000762078
