epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,310.636,1.0945,2.61046,1.71682,1.36176,0,0.60143,0.46518,0.55435,0.33215,0.58661,0.44732,0.50927,0.35946,1.64693,3.1018,1.92001,2.14188,0,0.00094654,0.00094654,0.00094654
29,321.645,1.08214,2.64381,1.69837,1.35345,0,0.39747,0.43143,0.41955,0.28066,0.43514,0.34522,0.39883,0.25704,1.57017,2.93821,2.15577,2.07844,0,0.00094456,0.00094456,0.00094456
30,332.839,1.08597,2.64472,1.69017,1.35885,0,0.42379,0.46896,0.44725,0.33698,0.40052,0.36964,0.41971,0.3192,1.47466,3.00895,2.04625,1.91662,0,0.00094258,0.00094258,0.00094258
31,343.806,1.0612,2.57181,1.63342,1.34273,0,0.54535,0.49921,0.54746,0.39477,0.53959,0.48971,0.53895,0.37711,1.43847,2.89625,2.0179,1.88419,0,0.0009406,0.0009406,0.0009406
32,354.847,1.08007,2.53373,1.6208,1.35226,0,0.30024,0.67946,0.50417,0.34008,0.60115,0.29464,0.4819,0.34332,1.44713,2.89942,1.96519,1.92125,0,0.00093862,0.00093862,0.00093862
33,365.795,1.06687,2.64352,1.63697,1.34452,0,0.56173,0.35625,0.40379,0.26959,0.53871,0.31468,0.38129,0.26421,1.4344,3.03345,1.9522,1.91208,0,0.00093664,0.00093664,0.00093664
34,376.798,1.07855,2.68925,1.66157,1.35749,0,0.31689,0.6789,0.53298,0.3352,0.29593,0.65179,0.50887,0.3423,1.5211,2.93492,2.13731,1.97181,0,0.00093466,0.00093466,0.00093466
35,387.812,1.054,2.5416,1.61883,1.32518,0,0.53885,0.40121,0.55491,0.41222,0.51913,0.38518,0.53745,0.39819,1.56666,2.92624,1.84341,1.95993,0,0.00093268,0.00093268,0.00093268
36,398.947,1.05714,2.60853,1.60549,1.34574,0,0.54142,0.48929,0.54746,0.40244,0.49385,0.46696,0.51012,0.38294,1.48829,2.93945,1.87008,1.97869,0,0.0009307,0.0009307,0.0009307
37,409.941,1.05739,2.57876,1.60704,1.34444,0,0.40691,0.47584,0.41477,0.22501,0.37316,0.4434,0.37588,0.22352,1.56299,2.87676,1.93324,2.01208,0,0.00092872,0.00092872,0.00092872
